incident_severity,insured_hobbies,total_claim_amount,policy_annual_premium,age,insured_occupation,insured_relationship,umbrella_limit,collision_type,incident_type,fraud_reported
Total Loss,chess,10087,655,25,teacher,unmarried,0,Rear Collision,Single Vehicle Collision,0
Total Loss,reading,19057,976,66,doctor,husband,600000,Front Collision,Parked Car,1
Major Damage,reading,8535,1014,37,manager,husband,1200000,Rear Collision,Multi-vehicle Collision,0
Major Damage,cross-fit,6652,1325,59,lawyer,unmarried,600000,Rear Collision,Multi-vehicle Collision,1
Minor Damage,reading,19464,1327,18,doctor,husband,0,Front Collision,Parked Car,0
Minor Damage,skydiving,13700,984,31,manager,own-child,600000,Front Collision,Single Vehicle Collision,0
Trivial Damage,reading,4235,442,60,lawyer,husband,600000,Rear Collision,Multi-vehicle Collision,0
Major Damage,chess,14624,1234,46,manager,unmarried,0,Rear Collision,Single Vehicle Collision,0
Trivial Damage,reading,12954,667,35,engineer,wife,0,Side Collision,Single Vehicle Collision,0
Total Loss,board games,11085,1531,41,lawyer,husband,1200000,Front Collision,Parked Car,0
Major Damage,chess,14843,954,23,doctor,own-child,600000,Front Collision,Multi-vehicle Collision,1
Total Loss,chess,19619,1718,21,engineer,wife,1200000,Side Collision,Single Vehicle Collision,0
Total Loss,biking,17416,1173,53,manager,wife,600000,Rear Collision,Single Vehicle Collision,0
Trivial Damage,skydiving,26635,833,31,engineer,unmarried,1200000,Front Collision,Single Vehicle Collision,0
Trivial Damage,skydiving,20163,550,67,doctor,husband,0,Side Collision,Single Vehicle Collision,1
Major Damage,reading,8918,810,52,lawyer,husband,1200000,Rear Collision,Single Vehicle Collision,1
Minor Damage,biking,3257,1278,65,lawyer,wife,0,Rear Collision,Single Vehicle Collision,0
Trivial Damage,biking,16420,772,22,teacher,husband,600000,Rear Collision,Single Vehicle Collision,0
Major Damage,chess,18672,1392,30,teacher,other-relative,1200000,Front Collision,Multi-vehicle Collision,1
Trivial Damage,cross-fit,18432,566,60,doctor,unmarried,0,Rear Collision,Parked Car,0
Total Loss,reading,24024,945,54,engineer,wife,600000,Front Collision,Multi-vehicle Collision,0
Total Loss,chess,7280,1070,25,lawyer,husband,1200000,Side Collision,Parked Car,1
Major Damage,board games,23359,1103,69,teacher,wife,600000,Side Collision,Single Vehicle Collision,1
Total Loss,cross-fit,20239,1165,30,teacher,husband,0,Side Collision,Parked Car,0
Total Loss,reading,12060,826,36,lawyer,other-relative,600000,Side Collision,Single Vehicle Collision,0
Trivial Damage,board games,23543,941,53,doctor,own-child,1200000,Side Collision,Multi-vehicle Collision,1
Minor Damage,biking,15652,1044,23,doctor,other-relative,600000,Rear Collision,Single Vehicle Collision,0
Total Loss,chess,18611,919,29,manager,wife,0,Front Collision,Single Vehicle Collision,0
Major Damage,board games,17797,1315,64,engineer,wife,1200000,Side Collision,Parked Car,1
Trivial Damage,skydiving,14391,1242,54,lawyer,husband,600000,Rear Collision,Multi-vehicle Collision,0
Trivial Damage,board games,16094,1003,65,manager,husband,600000,Side Collision,Single Vehicle Collision,0
Trivial Damage,chess,16308,692,46,manager,own-child,600000,Rear Collision,Parked Car,0
Minor Damage,chess,11248,551,36,manager,unmarried,600000,Rear Collision,Single Vehicle Collision,0
Total Loss,biking,13359,1053,35,doctor,own-child,0,Front Collision,Parked Car,0
Major Damage,chess,17097,250,63,engineer,other-relative,1200000,Front Collision,Multi-vehicle Collision,1
Major Damage,chess,21643,1750,29,teacher,other-relative,0,Rear Collision,Single Vehicle Collision,0
Total Loss,biking,17368,630,51,engineer,wife,0,Rear Collision,Single Vehicle Collision,0
Trivial Damage,reading,10037,956,22,engineer,other-relative,1200000,Front Collision,Single Vehicle Collision,0
Trivial Damage,cross-fit,17783,1204,41,engineer,own-child,1200000,Front Collision,Single Vehicle Collision,1
Minor Damage,board games,22268,874,26,manager,own-child,0,Rear Collision,Single Vehicle Collision,0
Total Loss,chess,13282,1429,33,manager,wife,600000,Rear Collision,Single Vehicle Collision,1
Total Loss,cross-fit,16823,410,37,manager,husband,1200000,Front Collision,Single Vehicle Collision,1
Minor Damage,reading,21034,459,46,manager,wife,1200000,Front Collision,Single Vehicle Collision,1
Total Loss,biking,14651,754,25,manager,other-relative,1200000,Rear Collision,Single Vehicle Collision,1
Total Loss,skydiving,26331,1351,37,lawyer,wife,0,Rear Collision,Multi-vehicle Collision,1
Trivial Damage,reading,21729,764,54,manager,other-relative,1200000,Front Collision,Multi-vehicle Collision,0
Trivial Damage,biking,19584,1554,51,lawyer,wife,600000,Side Collision,Single Vehicle Collision,0
Minor Damage,cross-fit,16986,1382,28,manager,wife,0,Rear Collision,Parked Car,0
Major Damage,skydiving,13039,857,26,manager,wife,1200000,Side Collision,Single Vehicle Collision,0
Major Damage,skydiving,9191,1628,23,manager,husband,0,Side Collision,Multi-vehicle Collision,1
Total Loss,board games,20856,648,52,manager,husband,0,Rear Collision,Multi-vehicle Collision,1
Minor Damage,reading,21608,1413,39,teacher,own-child,600000,Front Collision,Single Vehicle Collision,0
Major Damage,cross-fit,17959,787,61,manager,other-relative,0,Front Collision,Multi-vehicle Collision,0
Total Loss,skydiving,15389,660,46,engineer,unmarried,1200000,Rear Collision,Parked Car,0
Minor Damage,reading,4526,481,59,teacher,unmarried,1200000,Side Collision,Single Vehicle Collision,0
Major Damage,chess,16087,359,52,manager,unmarried,1200000,Front Collision,Multi-vehicle Collision,0
Total Loss,board games,13677,804,22,lawyer,other-relative,600000,Front Collision,Parked Car,0
Total Loss,board games,11049,733,40,engineer,wife,0,Side Collision,Single Vehicle Collision,1
Total Loss,board games,18926,929,62,manager,husband,600000,Front Collision,Parked Car,0
Trivial Damage,chess,20292,799,31,teacher,husband,0,Side Collision,Parked Car,1
Minor Damage,cross-fit,9063,862,38,teacher,unmarried,0,Rear Collision,Parked Car,1
Minor Damage,biking,13462,797,26,manager,husband,0,Rear Collision,Single Vehicle Collision,0
Trivial Damage,skydiving,18299,556,56,teacher,own-child,0,Front Collision,Parked Car,0
Total Loss,reading,9248,1109,30,manager,own-child,0,Rear Collision,Parked Car,0
Trivial Damage,cross-fit,13009,858,30,manager,wife,1200000,Front Collision,Parked Car,0
Major Damage,skydiving,20992,883,62,teacher,other-relative,0,Rear Collision,Multi-vehicle Collision,1
Trivial Damage,biking,17814,932,66,lawyer,own-child,0,Side Collision,Multi-vehicle Collision,0
Total Loss,reading,20010,1516,22,engineer,own-child,600000,Side Collision,Single Vehicle Collision,0
Minor Damage,chess,16941,944,47,doctor,other-relative,600000,Side Collision,Multi-vehicle Collision,0
Trivial Damage,skydiving,16002,1259,26,teacher,other-relative,0,Rear Collision,Single Vehicle Collision,1
Trivial Damage,skydiving,9703,1495,59,doctor,wife,1200000,Side Collision,Single Vehicle Collision,0
Trivial Damage,chess,18447,1466,25,doctor,husband,600000,Side Collision,Multi-vehicle Collision,0
Total Loss,cross-fit,19315,1342,63,doctor,unmarried,0,Rear Collision,Single Vehicle Collision,0
Major Damage,board games,20171,958,64,lawyer,wife,0,Side Collision,Parked Car,0
Trivial Damage,skydiving,19005,864,68,engineer,husband,1200000,Front Collision,Multi-vehicle Collision,0
Total Loss,biking,11862,1451,29,doctor,other-relative,600000,Rear Collision,Parked Car,1
Total Loss,cross-fit,16835,528,36,doctor,wife,600000,Rear Collision,Multi-vehicle Collision,1
Major Damage,chess,6525,1105,62,teacher,wife,0,Side Collision,Parked Car,1
Total Loss,cross-fit,10010,663,24,doctor,own-child,600000,Front Collision,Multi-vehicle Collision,0
Minor Damage,chess,10732,1322,24,teacher,unmarried,1200000,Rear Collision,Multi-vehicle Collision,0
Trivial Damage,board games,22586,741,27,engineer,other-relative,1200000,Front Collision,Single Vehicle Collision,1
Total Loss,reading,19581,1116,49,teacher,other-relative,600000,Front Collision,Parked Car,0
Minor Damage,skydiving,13800,774,44,doctor,husband,0,Side Collision,Parked Car,0
Minor Damage,biking,8853,1376,18,teacher,other-relative,1200000,Front Collision,Multi-vehicle Collision,1
Total Loss,board games,16803,1201,57,engineer,own-child,0,Side Collision,Parked Car,0
Total Loss,biking,11309,1675,53,teacher,other-relative,600000,Side Collision,Single Vehicle Collision,0
Total Loss,reading,19997,618,56,doctor,wife,1200000,Side Collision,Multi-vehicle Collision,1
Major Damage,skydiving,20426,788,49,manager,unmarried,600000,Side Collision,Parked Car,1
Trivial Damage,cross-fit,18569,911,35,doctor,husband,1200000,Rear Collision,Single Vehicle Collision,0
Trivial Damage,board games,18236,1076,66,teacher,wife,1200000,Front Collision,Multi-vehicle Collision,0
Minor Damage,skydiving,13563,1264,43,manager,wife,1200000,Front Collision,Parked Car,0
Total Loss,chess,16911,1273,51,doctor,wife,1200000,Side Collision,Multi-vehicle Collision,0
Minor Damage,cross-fit,15917,1130,50,doctor,own-child,1200000,Side Collision,Single Vehicle Collision,0
Minor Damage,biking,14740,1237,33,manager,other-relative,1200000,Rear Collision,Single Vehicle Collision,0
Total Loss,reading,12574,817,25,lawyer,other-relative,0,Side Collision,Single Vehicle Collision,0
Total Loss,chess,19747,1186,29,engineer,other-relative,600000,Front Collision,Parked Car,1
Minor Damage,chess,13389,1160,21,manager,unmarried,1200000,Rear Collision,Parked Car,0
Trivial Damage,skydiving,14536,816,68,engineer,unmarried,600000,Side Collision,Single Vehicle Collision,1
Total Loss,biking,17131,918,34,lawyer,own-child,600000,Front Collision,Single Vehicle Collision,1
Minor Damage,chess,7199,812,56,teacher,own-child,600000,Rear Collision,Multi-vehicle Collision,0
Trivial Damage,chess,13523,879,33,doctor,unmarried,600000,Rear Collision,Parked Car,0
Major Damage,chess,14240,1047,52,lawyer,other-relative,0,Rear Collision,Single Vehicle Collision,0
Minor Damage,cross-fit,15252,1089,52,manager,other-relative,600000,Rear Collision,Multi-vehicle Collision,0
Total Loss,board games,27312,880,43,engineer,own-child,600000,Rear Collision,Multi-vehicle Collision,0
Trivial Damage,chess,19819,1466,37,doctor,husband,1200000,Rear Collision,Parked Car,0
Total Loss,board games,20897,725,40,manager,unmarried,1200000,Side Collision,Parked Car,1
Trivial Damage,board games,16496,909,56,engineer,wife,0,Rear Collision,Multi-vehicle Collision,0
Total Loss,cross-fit,17048,1168,49,doctor,husband,1200000,Front Collision,Parked Car,0
Trivial Damage,board games,15813,235,58,manager,own-child,600000,Side Collision,Single Vehicle Collision,0
Total Loss,skydiving,9029,1456,40,engineer,other-relative,0,Rear Collision,Multi-vehicle Collision,1
Total Loss,reading,14252,1174,38,engineer,wife,1200000,Side Collision,Parked Car,0
Total Loss,skydiving,10086,805,48,engineer,other-relative,0,Rear Collision,Single Vehicle Collision,1
Trivial Damage,board games,16680,1225,63,teacher,own-child,1200000,Front Collision,Parked Car,0
Trivial Damage,reading,15901,1127,69,lawyer,wife,1200000,Rear Collision,Single Vehicle Collision,0
Minor Damage,biking,24104,921,36,lawyer,other-relative,0,Side Collision,Single Vehicle Collision,1
Trivial Damage,reading,16750,975,68,lawyer,own-child,600000,Front Collision,Multi-vehicle Collision,0
Major Damage,reading,14025,1250,58,engineer,own-child,600000,Side Collision,Single Vehicle Collision,0
Total Loss,cross-fit,25063,1421,44,lawyer,wife,1200000,Front Collision,Multi-vehicle Collision,1
Trivial Damage,chess,17080,976,32,manager,unmarried,600000,Rear Collision,Multi-vehicle Collision,0
Minor Damage,biking,10340,1458,34,doctor,own-child,600000,Rear Collision,Multi-vehicle Collision,0
Total Loss,board games,19128,965,18,teacher,other-relative,600000,Rear Collision,Multi-vehicle Collision,0
Total Loss,biking,18147,1021,31,teacher,unmarried,0,Side Collision,Single Vehicle Collision,0
Trivial Damage,reading,12993,851,21,lawyer,own-child,600000,Front Collision,Single Vehicle Collision,0
Trivial Damage,cross-fit,16883,1035,53,doctor,own-child,600000,Side Collision,Single Vehicle Collision,0
Major Damage,reading,13041,1024,43,teacher,wife,1200000,Front Collision,Parked Car,0
Trivial Damage,chess,26496,576,20,engineer,wife,600000,Side Collision,Parked Car,0
Trivial Damage,cross-fit,13514,1664,28,engineer,husband,0,Rear Collision,Multi-vehicle Collision,0
Major Damage,skydiving,14809,938,22,teacher,other-relative,1200000,Front Collision,Multi-vehicle Collision,0
Major Damage,cross-fit,13574,927,20,engineer,other-relative,0,Front Collision,Single Vehicle Collision,0
Major Damage,board games,24165,1120,28,teacher,wife,1200000,Side Collision,Single Vehicle Collision,1
Minor Damage,chess,12921,838,58,engineer,husband,1200000,Front Collision,Single Vehicle Collision,0
Minor Damage,skydiving,19625,658,19,lawyer,own-child,600000,Rear Collision,Parked Car,0
Major Damage,skydiving,11609,1247,63,lawyer,unmarried,0,Rear Collision,Single Vehicle Collision,0
Trivial Damage,biking,26382,472,31,doctor,unmarried,1200000,Side Collision,Parked Car,1
Trivial Damage,cross-fit,9403,1270,49,engineer,unmarried,600000,Side Collision,Single Vehicle Collision,0
Major Damage,cross-fit,14283,946,21,doctor,own-child,0,Side Collision,Multi-vehicle Collision,0
Trivial Damage,chess,10765,989,53,manager,unmarried,0,Front Collision,Parked Car,0
Total Loss,cross-fit,15953,1358,57,lawyer,own-child,600000,Rear Collision,Single Vehicle Collision,0
Trivial Damage,cross-fit,14295,950,47,doctor,unmarried,0,Front Collision,Parked Car,0
Minor Damage,cross-fit,21999,756,19,teacher,wife,600000,Rear Collision,Multi-vehicle Collision,0
Major Damage,biking,23269,921,44,engineer,wife,0,Rear Collision,Single Vehicle Collision,0
Major Damage,reading,16561,904,49,manager,husband,600000,Front Collision,Parked Car,0
Total Loss,board games,28245,627,40,teacher,wife,1200000,Side Collision,Multi-vehicle Collision,1
Minor Damage,biking,16672,1010,49,lawyer,husband,1200000,Front Collision,Parked Car,0
Total Loss,reading,13698,881,38,manager,own-child,1200000,Side Collision,Parked Car,1
Total Loss,skydiving,14620,636,19,teacher,unmarried,600000,Front Collision,Parked Car,0
Minor Damage,biking,8283,758,61,lawyer,other-relative,600000,Front Collision,Single Vehicle Collision,0
Trivial Damage,biking,18588,1160,32,lawyer,own-child,1200000,Rear Collision,Parked Car,0
Major Damage,biking,17995,842,40,engineer,other-relative,0,Rear Collision,Parked Car,1
Major Damage,skydiving,18588,1545,56,engineer,wife,1200000,Front Collision,Single Vehicle Collision,0
Minor Damage,biking,8807,1243,67,teacher,unmarried,0,Rear Collision,Parked Car,0
Major Damage,chess,20508,614,64,lawyer,husband,1200000,Rear Collision,Multi-vehicle Collision,1
Total Loss,reading,10854,723,23,doctor,wife,600000,Rear Collision,Single Vehicle Collision,0
Trivial Damage,cross-fit,20029,1136,55,engineer,wife,0,Rear Collision,Multi-vehicle Collision,0
Total Loss,chess,12254,1110,60,manager,own-child,600000,Rear Collision,Single Vehicle Collision,1
Minor Damage,biking,16890,1283,58,doctor,unmarried,0,Rear Collision,Parked Car,0
Trivial Damage,biking,14714,777,22,teacher,unmarried,600000,Rear Collision,Multi-vehicle Collision,0
Major Damage,biking,14928,966,61,lawyer,wife,1200000,Side Collision,Single Vehicle Collision,0
Trivial Damage,reading,10652,895,50,engineer,own-child,600000,Side Collision,Multi-vehicle Collision,0
Major Damage,cross-fit,7863,1100,26,manager,husband,0,Rear Collision,Single Vehicle Collision,0
Total Loss,cross-fit,6797,826,39,teacher,own-child,600000,Rear Collision,Multi-vehicle Collision,0
Minor Damage,reading,1629,1036,47,teacher,other-relative,1200000,Side Collision,Multi-vehicle Collision,0
Total Loss,board games,10709,1002,21,lawyer,husband,600000,Side Collision,Single Vehicle Collision,0
Major Damage,chess,12617,604,63,engineer,wife,0,Front Collision,Multi-vehicle Collision,0
Total Loss,cross-fit,14045,610,34,teacher,husband,1200000,Side Collision,Single Vehicle Collision,1
Trivial Damage,board games,14466,258,31,engineer,unmarried,600000,Rear Collision,Multi-vehicle Collision,0
Minor Damage,biking,22353,667,33,lawyer,husband,1200000,Side Collision,Parked Car,1
Major Damage,chess,17196,1027,44,lawyer,unmarried,600000,Front Collision,Multi-vehicle Collision,1
Major Damage,board games,9189,569,21,lawyer,other-relative,600000,Side Collision,Single Vehicle Collision,1
Total Loss,chess,10777,1097,49,manager,wife,1200000,Front Collision,Multi-vehicle Collision,0
Total Loss,board games,9686,998,27,teacher,own-child,1200000,Rear Collision,Multi-vehicle Collision,0
Trivial Damage,cross-fit,11271,1109,28,engineer,husband,600000,Side Collision,Multi-vehicle Collision,0
Total Loss,cross-fit,18156,1595,45,teacher,wife,600000,Side Collision,Multi-vehicle Collision,1
Major Damage,biking,19331,918,24,doctor,wife,600000,Front Collision,Parked Car,0
Major Damage,skydiving,11908,1207,25,lawyer,husband,1200000,Front Collision,Multi-vehicle Collision,0
Total Loss,biking,20149,792,21,teacher,wife,0,Front Collision,Multi-vehicle Collision,1
Minor Damage,cross-fit,21229,995,33,manager,own-child,1200000,Front Collision,Single Vehicle Collision,0
Trivial Damage,biking,10350,1688,44,manager,own-child,600000,Rear Collision,Parked Car,0
Minor Damage,cross-fit,16031,1166,64,engineer,husband,0,Rear Collision,Single Vehicle Collision,0
Minor Damage,cross-fit,20143,955,61,engineer,own-child,600000,Rear Collision,Parked Car,0
Trivial Damage,cross-fit,18810,795,55,engineer,husband,1200000,Front Collision,Parked Car,0
Total Loss,reading,13961,821,39,manager,wife,600000,Front Collision,Single Vehicle Collision,1
Total Loss,chess,11522,1257,19,lawyer,unmarried,0,Side Collision,Multi-vehicle Collision,0
Minor Damage,chess,15503,810,21,lawyer,wife,0,Side Collision,Multi-vehicle Collision,1
Minor Damage,biking,19565,1215,46,teacher,wife,1200000,Side Collision,Parked Car,1
Total Loss,reading,8671,898,49,doctor,unmarried,0,Side Collision,Single Vehicle Collision,0
Trivial Damage,cross-fit,14591,519,21,engineer,wife,1200000,Rear Collision,Multi-vehicle Collision,1
Trivial Damage,biking,23867,1153,61,lawyer,wife,1200000,Side Collision,Multi-vehicle Collision,0
Total Loss,biking,18408,1283,23,engineer,own-child,0,Front Collision,Parked Car,0
Minor Damage,chess,7026,994,39,lawyer,husband,0,Side Collision,Multi-vehicle Collision,0
Total Loss,chess,16592,620,65,engineer,wife,0,Rear Collision,Multi-vehicle Collision,0
Minor Damage,skydiving,15138,951,26,doctor,husband,0,Rear Collision,Parked Car,0
Total Loss,skydiving,9004,726,59,teacher,other-relative,600000,Front Collision,Parked Car,0
Minor Damage,reading,16638,699,50,teacher,own-child,600000,Rear Collision,Multi-vehicle Collision,0
Total Loss,board games,23871,1001,53,doctor,wife,0,Front Collision,Parked Car,1
Total Loss,skydiving,12716,800,37,doctor,wife,600000,Front Collision,Single Vehicle Collision,1
Major Damage,chess,16979,1273,26,teacher,other-relative,600000,Front Collision,Multi-vehicle Collision,1
Trivial Damage,cross-fit,20596,927,69,manager,husband,600000,Front Collision,Multi-vehicle Collision,0
Minor Damage,cross-fit,6597,1155,19,lawyer,own-child,1200000,Rear Collision,Single Vehicle Collision,1
Trivial Damage,biking,18452,830,20,teacher,husband,0,Rear Collision,Single Vehicle Collision,0
Trivial Damage,reading,9487,1317,24,lawyer,other-relative,0,Side Collision,Single Vehicle Collision,0
Trivial Damage,cross-fit,21127,941,47,engineer,other-relative,1200000,Front Collision,Parked Car,0
Trivial Damage,reading,26133,677,49,lawyer,other-relative,600000,Front Collision,Single Vehicle Collision,0
Major Damage,biking,15429,595,54,engineer,wife,600000,Front Collision,Single Vehicle Collision,0
Total Loss,skydiving,12002,1164,40,engineer,husband,600000,Side Collision,Single Vehicle Collision,0
Trivial Damage,biking,24723,1466,35,teacher,husband,0,Side Collision,Multi-vehicle Collision,0
Trivial Damage,board games,15108,786,69,manager,own-child,1200000,Front Collision,Multi-vehicle Collision,1
Major Damage,reading,10958,1412,19,lawyer,unmarried,600000,Rear Collision,Single Vehicle Collision,1
Minor Damage,chess,18091,841,43,engineer,other-relative,1200000,Rear Collision,Parked Car,0
Minor Damage,board games,7450,1060,34,doctor,wife,0,Front Collision,Parked Car,1
Trivial Damage,cross-fit,14729,968,69,engineer,husband,1200000,Front Collision,Single Vehicle Collision,0
Major Damage,reading,14817,1045,23,manager,unmarried,600000,Side Collision,Multi-vehicle Collision,1
Total Loss,cross-fit,15730,268,61,engineer,wife,0,Rear Collision,Single Vehicle Collision,1
Major Damage,biking,18034,1150,32,doctor,own-child,600000,Side Collision,Multi-vehicle Collision,0
Total Loss,skydiving,13357,1200,64,manager,husband,1200000,Rear Collision,Single Vehicle Collision,0
Minor Damage,biking,19616,920,39,manager,wife,600000,Front Collision,Single Vehicle Collision,0
Trivial Damage,chess,10115,1114,41,doctor,unmarried,600000,Rear Collision,Single Vehicle Collision,0
Trivial Damage,chess,27577,921,30,doctor,wife,600000,Side Collision,Single Vehicle Collision,0
Trivial Damage,biking,9672,1409,34,manager,wife,1200000,Rear Collision,Parked Car,0
Total Loss,skydiving,18696,1221,68,teacher,unmarried,1200000,Rear Collision,Parked Car,0
Trivial Damage,skydiving,16394,846,33,teacher,other-relative,0,Front Collision,Single Vehicle Collision,1
Major Damage,skydiving,13905,1092,27,teacher,husband,600000,Rear Collision,Parked Car,0
Major Damage,board games,8805,1082,25,engineer,other-relative,0,Rear Collision,Multi-vehicle Collision,0
Trivial Damage,chess,19103,723,42,teacher,other-relative,0,Front Collision,Single Vehicle Collision,0
Total Loss,reading,12831,632,66,engineer,unmarried,600000,Side Collision,Single Vehicle Collision,1
Minor Damage,reading,26064,1163,47,manager,wife,600000,Front Collision,Parked Car,1
Major Damage,chess,12084,1059,56,lawyer,husband,600000,Rear Collision,Multi-vehicle Collision,0
Major Damage,skydiving,12512,794,65,manager,husband,600000,Front Collision,Parked Car,0
Major Damage,board games,20394,578,52,manager,wife,0,Side Collision,Parked Car,1
Minor Damage,cross-fit,15690,1275,35,doctor,unmarried,600000,Front Collision,Parked Car,1
Minor Damage,cross-fit,17541,1004,52,doctor,other-relative,600000,Rear Collision,Multi-vehicle Collision,0
Major Damage,reading,17150,871,20,teacher,husband,1200000,Front Collision,Parked Car,0
Major Damage,cross-fit,14025,930,68,lawyer,wife,1200000,Side Collision,Parked Car,1
Total Loss,skydiving,9129,1109,48,engineer,wife,600000,Side Collision,Multi-vehicle Collision,1
Trivial Damage,cross-fit,16228,747,47,teacher,other-relative,0,Rear Collision,Multi-vehicle Collision,1
Minor Damage,biking,15054,939,49,engineer,unmarried,0,Rear Collision,Single Vehicle Collision,0
Trivial Damage,reading,24239,1236,45,doctor,own-child,1200000,Side Collision,Multi-vehicle Collision,1
Total Loss,skydiving,8825,902,54,engineer,other-relative,0,Side Collision,Single Vehicle Collision,0
Trivial Damage,reading,19484,646,24,engineer,husband,1200000,Rear Collision,Single Vehicle Collision,0
Total Loss,skydiving,18751,838,20,lawyer,own-child,1200000,Side Collision,Single Vehicle Collision,0
Total Loss,skydiving,19419,407,43,manager,husband,1200000,Rear Collision,Multi-vehicle Collision,0
Major Damage,cross-fit,4426,1159,52,manager,other-relative,1200000,Side Collision,Multi-vehicle Collision,0
Trivial Damage,biking,13969,733,54,doctor,own-child,600000,Side Collision,Single Vehicle Collision,0
Trivial Damage,cross-fit,21591,1467,65,manager,other-relative,600000,Front Collision,Single Vehicle Collision,0
Minor Damage,skydiving,3883,1009,65,engineer,husband,0,Front Collision,Parked Car,0
Major Damage,cross-fit,11963,1031,51,doctor,own-child,1200000,Side Collision,Parked Car,1
Major Damage,biking,12123,886,61,doctor,wife,0,Rear Collision,Multi-vehicle Collision,1
Major Damage,cross-fit,13457,1172,26,manager,own-child,1200000,Side Collision,Single Vehicle Collision,1
Trivial Damage,chess,16003,1444,28,engineer,wife,1200000,Rear Collision,Parked Car,0
Trivial Damage,board games,11205,1086,67,teacher,own-child,1200000,Front Collision,Multi-vehicle Collision,0
Trivial Damage,skydiving,21705,1025,64,manager,other-relative,1200000,Rear Collision,Single Vehicle Collision,0
Major Damage,skydiving,19402,991,61,manager,own-child,1200000,Side Collision,Multi-vehicle Collision,0
Total Loss,cross-fit,20669,1258,34,doctor,other-relative,0,Side Collision,Single Vehicle Collision,0
Major Damage,skydiving,7794,446,68,lawyer,wife,1200000,Rear Collision,Single Vehicle Collision,0
Trivial Damage,cross-fit,13375,851,51,doctor,own-child,0,Side Collision,Multi-vehicle Collision,0
Trivial Damage,reading,19676,848,60,teacher,husband,1200000,Side Collision,Multi-vehicle Collision,0
Minor Damage,skydiving,15365,945,42,teacher,wife,600000,Side Collision,Single Vehicle Collision,0
Total Loss,skydiving,11443,648,61,lawyer,own-child,0,Front Collision,Multi-vehicle Collision,1
Trivial Damage,reading,18899,396,37,engineer,wife,0,Rear Collision,Parked Car,0
Major Damage,cross-fit,16206,411,65,doctor,other-relative,0,Side Collision,Single Vehicle Collision,1
Minor Damage,cross-fit,8964,649,41,manager,own-child,600000,Side Collision,Parked Car,0
Total Loss,board games,11294,1444,21,doctor,husband,1200000,Side Collision,Parked Car,0
Major Damage,board games,20812,612,62,teacher,own-child,1200000,Rear Collision,Single Vehicle Collision,1
Total Loss,biking,13714,1320,58,doctor,unmarried,0,Front Collision,Multi-vehicle Collision,1
Trivial Damage,reading,12394,1074,60,lawyer,other-relative,600000,Rear Collision,Multi-vehicle Collision,0
Total Loss,board games,16206,1260,43,lawyer,other-relative,1200000,Rear Collision,Multi-vehicle Collision,0
Total Loss,cross-fit,10009,797,66,engineer,unmarried,1200000,Side Collision,Parked Car,0
Total Loss,reading,6760,1143,42,lawyer,unmarried,1200000,Front Collision,Single Vehicle Collision,0
Minor Damage,cross-fit,12092,938,49,manager,unmarried,600000,Side Collision,Parked Car,0
Minor Damage,reading,11071,256,30,doctor,other-relative,600000,Rear Collision,Parked Car,0
Total Loss,board games,21895,504,59,manager,own-child,600000,Rear Collision,Single Vehicle Collision,0
Trivial Damage,board games,9043,814,30,engineer,own-child,600000,Rear Collision,Single Vehicle Collision,0
Trivial Damage,board games,13575,306,39,teacher,wife,600000,Side Collision,Parked Car,0
Major Damage,cross-fit,9891,630,49,lawyer,unmarried,0,Front Collision,Single Vehicle Collision,1
Minor Damage,skydiving,15905,1500,69,lawyer,other-relative,600000,Front Collision,Multi-vehicle Collision,1
Major Damage,skydiving,16554,1202,30,engineer,own-child,0,Side Collision,Single Vehicle Collision,0
Minor Damage,biking,9915,679,49,lawyer,other-relative,600000,Rear Collision,Single Vehicle Collision,0
Total Loss,chess,8804,1258,30,doctor,husband,1200000,Rear Collision,Multi-vehicle Collision,1
Trivial Damage,cross-fit,24499,1030,56,teacher,own-child,0,Side Collision,Multi-vehicle Collision,1
Total Loss,chess,13000,1214,67,engineer,husband,600000,Side Collision,Single Vehicle Collision,0
Trivial Damage,board games,9682,1185,20,doctor,husband,0,Rear Collision,Single Vehicle Collision,0
Major Damage,reading,21588,1392,19,doctor,wife,1200000,Side Collision,Parked Car,0
Major Damage,reading,8124,1164,41,engineer,husband,0,Front Collision,Single Vehicle Collision,1
Total Loss,skydiving,15314,280,18,lawyer,wife,600000,Rear Collision,Single Vehicle Collision,0
Minor Damage,board games,4887,614,57,teacher,other-relative,600000,Rear Collision,Parked Car,0
Major Damage,chess,8941,933,27,teacher,wife,600000,Rear Collision,Parked Car,0
Total Loss,board games,15458,1280,53,teacher,husband,1200000,Rear Collision,Multi-vehicle Collision,0
Major Damage,skydiving,9476,1422,52,lawyer,wife,1200000,Front Collision,Parked Car,0
Total Loss,chess,17520,740,51,manager,unmarried,1200000,Front Collision,Parked Car,1
Total Loss,reading,7876,1180,59,engineer,wife,0,Rear Collision,Multi-vehicle Collision,0
Major Damage,chess,21128,455,44,doctor,husband,600000,Front Collision,Parked Car,1
Total Loss,reading,4006,650,33,manager,unmarried,600000,Side Collision,Single Vehicle Collision,0
Trivial Damage,skydiving,16418,882,39,engineer,wife,1200000,Rear Collision,Multi-vehicle Collision,0
Total Loss,cross-fit,26996,854,42,engineer,other-relative,0,Rear Collision,Multi-vehicle Collision,1
